@relation final_property_listings_WEKA-weka.filters.unsupervised.attribute.Remove-R1

@attribute Location {klcc,'damansara heights',dutamas,'bukit jalil','taman tun dr ismail','sri petaling','bukit tunku (kenny hills)','mont kiara','desa parkcity','bangsar south','ampang hilir',kepong,'jalan klang lama (old klang road)','sungai besi','kl city','kl sentral','taman melawati',setapak,'city centre','country heights damansara','taman desa',sentul,bangsar,segambut,'wangsa maju','batu caves',ampang,'sri hartamas',cheras,setiawangsa,oug,'bukit bintang','jalan sultan ismail','jalan kuching','bandar menjalara',seputeh,'sunway spk','kl eco city',pantai,'kuchai lama','jalan ipoh',brickfields,'desa pandan','desa petaling','pandan perdana','bandar damai perdana',keramat,'salak selatan',titiwangsa}
@attribute Price numeric
@attribute 'Rooms Num' numeric
@attribute Bathrooms numeric
@attribute 'Main Property Type' {'Serviced Residence',Bungalow,Condominium,'Semi-detached House','Terrace/Link House',Apartment,Townhouse,Flat,'Residential Land','Cluster House'}
@attribute 'Size Type' {Built-up,'Land area'}
@attribute 'Size Num' numeric
@attribute Furnishing {'Fully Furnished','Partly Furnished',Unfurnished,Unknown}

@data
klcc,1250000,3,3,'Serviced Residence',Built-up,1335,'Fully Furnished'
'damansara heights',6800000,6,7,Bungalow,'Land area',6900,'Partly Furnished'
dutamas,1030000,3,4,Condominium,Built-up,1875,'Partly Furnished'
'bukit jalil',900000,5,3,Condominium,Built-up,1513,'Partly Furnished'
'taman tun dr ismail',5350000,6,5,Bungalow,'Land area',7200,'Partly Furnished'
'taman tun dr ismail',2600000,5,4,'Semi-detached House','Land area',3600,'Partly Furnished'
'taman tun dr ismail',1950000,5,4,'Terrace/Link House','Land area',1875,'Partly Furnished'
'sri petaling',385000,3,2,Apartment,Built-up,904,'Partly Furnished'
'taman tun dr ismail',1680000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished'
'taman tun dr ismail',1700000,4,3,'Terrace/Link House','Land area',1900,'Partly Furnished'
'taman tun dr ismail',4580000,7,5,Bungalow,'Land area',6000,'Partly Furnished'
'taman tun dr ismail',3100000,5,3,'Semi-detached House','Land area',3600,'Partly Furnished'
'bukit tunku (kenny hills)',9000000,7,7,Bungalow,'Land area',8500,'Partly Furnished'
